	OS	CBFB	COL1A1	EGF
REF1	0	7.801034674	9.09918341	11.5863707
REF2	0	7.354616714	10.2087424	11.65260226
REF3	0	6.732450113	10.76286645	10.13533521
REF4	0	7.366504361	10.89067595	10.03631673
REF5	0	7.539158811	13.57841938	8.703254734
REF6	0	5.7543308	11.82845883	9.295051426
REF7	0	7.978591302	11.6965148	9.693704739
REF8	0	7.658211483	11.04904021	10.5731146
REF9	0	7.164906927	9.685113776	11.10503547
AKI7	1	6.410451352	13.31896346	7.827607346
AKI1	1	8.363769739	13.71865996	8.071685811
AKI2	1	8.413980451	12.55194853	9.717283712
AKI3	1	7.869465324	10.54430039	8.641750724
AKI4	1	7.516028284	9.778761617	7.9453219
AKI5	1	8.818582177	10.26236405	8.893933488
AKI11	1	7.403544678	9.36459067	9.335622969
AKI12	1	8.131428289	12.72072967	9.431671706
AKI6	1	8.33110355	11.94570292	10.26468694
AKI9	1	8.405761958	14.67888091	5.839203788
AKI10	1	7.873187747	13.42060174	8.759125311
AKI8	1	7.600532423	13.38343149	7.207217731
AKI13	1	8.450266181	11.95530178	7.275736532
AKI14	1	9.059175438	12.81124925	0
AKI15	1	9.3524573	11.03680322	10.21502734
AKI16	1	10.10675376	14.27193866	0
AKI17	1	9.201358184	11.49501179	0
AKI18	1	7.752659401	12.09077405	8.371504412
AKI19	1	7.714674827	11.20446926	6.189000868
AKI20	1	8.448202362	12.88844599	3.594946589
AKI21	1	8.732026061	11.09587773	6.774512549
AKI22	1	7.111353058	13.17317937	8.115152054
AKI23	1	7.809634168	11.70388555	8.597509448
AKI24	1	8.818582177	12.29799095	9.905481025
AKI25	1	9.052568051	12.72072967	8.843070464
AKI26	1	5.596189756	11.43673323	8.032275364
AKI27	1	8.072020919	11.57065622	7.924936186
AKI28	1	7.227615943	12.51099591	8.839466263
AKI29	1	4.640244936	9.874020768	8.39383732
AKI30	1	10.14550764	11.53724874	7.725508276
AKI31	1	7.581200582	12.24824262	9.125628718
AKI32	1	4.963859408	12.90793514	4.448460501
AKI33	1	8.940435958	12.35535683	5.631783357
AKI34	1	9.547657716	11.86928056	7.142532569
AKI35	1	6.782179194	13.29687141	9.046726139
AKI36	1	8.747213945	12.47218841	9.55322929
AKI37	1	8.71624787	12.57870683	7.236412892
AKI38	1	9.233569749	13.50950957	6.999765168
AKI39	1	6.882388314	12.79384882	6.54399845
